#1,,,,,,,,,,,,
#Western States Championships, Bullhead City AZ, Mar 19 and 20,2016
#Locked
#Game,Date,Day,Field,Time,Division,Home Section,Visiting Section,Referees Section,CR,AR1,AR2,4th
60,20-Mar, Sunday, Field 5, 3:00 PM, BU12 CHAMPIONSHIP, Winner Field 5 @ 11, Winner Field 6 @ 11,,,,,
61,20-Mar, Sunday, Field 6, 9:00 AM, GU12, 1/D/18 Manhattan/Hermosa Beach, 11/R/785 North Park,Section 2,,,,
62,20-Mar, Sunday, Field 6, 11:00 AM, BU12, 10/O/129 Visalia, 11/R/785 North Park,Section 2,,,,
63,20-Mar, Sunday, Field 6, 1:00 PM, GU12 CONSOLATION, Loser Field 5 @ 9, Loser Field 6 @ 9,,,,,
64,20-Mar, Sunday, Field 6, 3:00 PM, BU12 CONSOLATION, Loser Field 5 @ 11, Loser Field 6 @ 11,,,,,
65,20-Mar, Sunday, Field 9, 9:00 AM, GU10, 11/Z/24 Downey, 10/Q/741 Paso Robles,Section One,,,,
66,20-Mar, Sunday, Field 9, 11:00 AM, BU10, 10/Q/83 Five Cities, 1/C/40 San Gabriel/Rosemead,Section 11,,,,
67,20-Mar, Sunday, Field 9, 1:00 PM, GU10 CHAMPIONSHIP, Winner Field 9 @ 9, Winner Field 10 @ 9,,,,,
68,20-Mar, Sunday, Field 9, 3:00 PM, BU10 CHAMPIONSHIP, Winner Field 9 @ 11, Winner Field 10 @ 11,,,,,
69,20-Mar, Sunday, Field 10, 9:00 AM, GU10, 1/S/808 Pahrump, 2/N/110 Hillsborough,Section 11,,,,
70,20-Mar, Sunday, Field 10, 11:00 AM, BU10, 11/Z/652 South Gate, 1WC/P/1595 Watts,Section 10,,,,
71,20-Mar, Sunday, Field 10, 1:00 PM, GU10 CONSOLATION, Loser Field 9 @ 9, Loser Field 10 @ 9,,,,,
72,20-Mar, Sunday, Field 10, 3:00 PM, BU10 CONSOLATION, Loser Field 9 @ 11, Loser Field 10 @ 11,,,,,
73,20-Mar, Sunday, Field 11, 9:00 AM, GU09Extra, 10/S/678 Valencia, 1WC/F/16 North Torrance,Section 11,,,,
74,20-Mar, Sunday, Field 11, 11:00 AM, GU10Extra, 1/F/16 North Torrance, 10/W/68 Camarillo,Section 11,,,,
75,20-Mar, Sunday, Field 11, 1:00 PM, GU09Extra CHAMPIONSHIP, Winner Field 12 @ 9, Winner Field 11 @ 9,,,,,
76,20-Mar, Sunday, Field 11, 3:00 PM, GU10Extra CHAMPIONSHIP, Winner Field 12 @ 11, Winner Field 11 @ 11,,,,,
77,20-Mar, Sunday, Field 12, 9:00 AM, GU09Extra, 1/F/10 Palos Verdes, 11/L/87 San Juan Capistrano,Section 10,,,,
78,20-Mar, Sunday, Field 12, 11:00 AM, GU10Extra, 10WC/E/4 Agoura/Westlake/Oak Park, 11/E/159 Los Alamitos,Section One,,,,
79,20-Mar, Sunday, Field 12, 1:00 PM, GU09Extra CONSOLATION, Loser Field 12 @ 9, Loser Field 11 @ 9,,,,,
80,20-Mar, Sunday, Field 12, 3:00 PM, GU10Extra CONSOLATION, Loser Field 12 @ 11, Loser Field 11 @ 11,,,,,
81,20-Mar, Sunday, Field 7, 9:00 AM, GU11Extra, 11/Q/120 Costa Mesa, 10/E/363 Moorpark,Section One,,,,
82,20-Mar, Sunday, Field 7, 11:00 AM, GU12Extra, 10/D/665 Victorville, 11/E/154 Cypress,Section 10,,,,
83,20-Mar, Sunday, Field 7, 1:00 PM, GU11Extra CHAMPIONSHIP, Winner Field 7 @ 9, Winner Field 8 @ 9,,,,,
84,20-Mar, Sunday, Field 7, 3:00 PM, GU12Extra CHAMPIONSHIP, Winner Field 7 @ 11, Winner Field 8 @ 11,,,,,
